Locus       k    N        HObs   HExp   PIC    NE-1P  NE-2P  NE-PP  NE-I   NE-SI  HW   F(Null)
Locus-1-      9      595  0.615  0.615  0.549  0.798  0.650  0.485  0.214  0.496   NS   0.0013
Locus-2-      4      584  0.620  0.644  0.573  0.790  0.641  0.486  0.197  0.478   NS   0.0203
Locus-3-      5      434  0.576  0.648  0.589  0.769  0.610  0.436  0.183  0.472    *   0.0569
Locus-4-      5      605  0.364  0.403  0.361  0.918  0.796  0.667  0.399  0.649   NS   0.0543
Locus-5-      7      309  0.469  0.635  0.571  0.776  0.623  0.449  0.197  0.482  ***   0.1586
Locus-6-      4      467  0.450  0.662  0.589  0.780  0.631  0.480  0.187  0.466  ***   0.1928
Locus-7-      8      328  0.460  0.722  0.673  0.693  0.521  0.339  0.126  0.421  ***   0.2343
Locus-8-      9      582  0.498  0.491  0.416  0.877  0.763  0.633  0.334  0.588   NS  -0.0134
Locus-9-      3      362  0.155  0.153  0.142  0.988  0.929  0.872  0.729  0.856   ND  -0.0086
Locus-10-     4      605  0.570  0.581  0.522  0.825  0.675  0.514  0.235  0.518   NS   0.0106
Locus-11-     4      389  0.391  0.599  0.513  0.820  0.693  0.550  0.246  0.512  ***   0.2130
Locus-12-     7      587  0.578  0.578  0.531  0.819  0.657  0.481  0.225  0.517   NS   0.0037
Locus-13-     7      392  0.156  0.567  0.499  0.829  0.691  0.533  0.255  0.531  ***   0.5861
Locus-14-     8      346  0.754  0.749  0.707  0.656  0.478  0.293  0.104  0.402   NS  -0.0085
Locus-15-     2      558  0.238  0.326  0.273  0.947  0.864  0.781  0.507  0.714  ***   0.1556
Locus-16-     3      568  0.164  0.158  0.152  0.987  0.920  0.852  0.715  0.850   ND  -0.0221
Locus-17-     5      613  0.618  0.650  0.609  0.756  0.580  0.388  0.164  0.466   NS   0.0214
Locus-18-     6      281  0.598  0.694  0.649  0.717  0.542  0.355  0.139  0.438   NS   0.0754
Locus-19-    11      580  0.669  0.720  0.686  0.676  0.494  0.297  0.112  0.418   **   0.0337
Locus-20-     3      536  0.011  0.015  0.015  1.000  0.993  0.985  0.971  0.985   ND   0.0986
